tenure_months,monthly_charges,total_charges,num_products,has_internet,has_phone,contract_type,payment_method,support_calls,late_payments,avg_monthly_spend,charges_per_product,customer_value,service_usage_score,churn
47,43.58,1993.82,2,1,1,Month-to-Month,Mailed check,0,0,42.42,21.79,3987.64,4,0
62,97.6,6512.97,2,1,1,One Year,Electronic check,1,1,105.05,48.8,13025.94,4,0
51,60.53,2847.92,1,1,1,One Year,Credit card,1,1,55.84,60.53,2847.92,3,0
55,80.19,4398.92,4,1,1,Month-to-Month,Bank transfer,1,1,79.98,20.0475,17595.68,6,0
64,83.25,5002.32,4,1,1,Month-to-Month,Credit card,1,1,78.16,20.8125,20009.28,6,1
3,57.28,184.25,3,1,0,Month-to-Month,Credit card,3,0,61.42,19.093333333333334,552.75,4,0
51,71.26,3455.07,2,0,0,Month-to-Month,Bank transfer,5,0,67.75,35.63,6910.14,2,0
7,61.3,440.55,3,0,1,One Year,Mailed check,3,1,62.94,20.433333333333334,1321.65,4,0
21,26.91,527.31,3,1,0,One Year,Bank transfer,2,1,25.11,8.97,1581.9299999999998,4,0
39,63.72,2437.82,1,1,0,One Year,Electronic check,1,0,62.51,63.72,2437.82,2,0
18,29.74,578.08,1,1,1,Two Year,Mailed check,1,0,32.12,29.74,578.08,3,0
4,60.5,225.84,1,1,0,Month-to-Month,Credit card,4,1,56.46,60.5,225.84,2,0
60,79.29,4912.68,2,1,0,Month-to-Month,Mailed check,2,1,81.88,39.645,9825.36,3,1
14,77.94,1026.67,1,1,1,Month-to-Month,Mailed check,3,1,73.33,77.94,1026.67,3,0
9,86.26,763.26,1,0,1,One Year,Electronic check,1,0,84.81,86.26,763.26,2,0
53,29.53,1577.8,2,1,1,Month-to-Month,Mailed check,1,1,29.77,14.765,3155.6,4,1
2,85.21,173.05,2,0,0,Two Year,Mailed check,2,0,86.52,42.605,346.1,2,0
60,51.21,3135.6,4,0,1,Month-to-Month,Mailed check,1,1,52.26,12.8025,12542.4,5,0
71,59.9,4372.09,1,1,1,Two Year,Credit card,2,0,61.58,59.9,4372.09,3,0
44,105.8,4442.71,1,0,1,Two Year,Mailed check,5,0,100.97,105.8,4442.71,2,1
8,20.9,163.9,1,0,1,Month-to-Month,Bank transfer,1,0,20.49,20.9,163.9,2,0
47,78.84,3362.59,4,0,1,Month-to-Month,Mailed check,3,0,71.54,19.71,13450.36,5,0
35,79.87,2945.71,1,1,1,One Year,Electronic check,1,0,84.16,79.87,2945.71,3,0
36,59.67,2292.95,4,1,0,Month-to-Month,Mailed check,3,1,63.69,14.9175,9171.8,5,0
50,43.7,2053.57,3,1,1,Month-to-Month,Mailed check,3,1,41.07,14.566666666666668,6160.710000000001,5,0
4,43.47,163.5,4,1,1,One Year,Credit card,3,0,40.88,10.8675,654.0,6,0
2,108.37,196.89,3,1,1,Month-to-Month,Bank transfer,3,0,98.44,36.123333333333335,590.67,5,1
6,64.2,421.44,1,1,0,One Year,Mailed check,3,1,70.24,64.2,421.44,2,0
54,53.09,3042.99,3,0,1,One Year,Bank transfer,4,1,56.35,17.69666666666667,9128.97,4,0
4,64.88,252.29,4,1,1,Month-to-Month,Electronic check,0,1,63.07,16.22,1009.16,6,1
54,86.94,4677.77,2,1,0,Month-to-Month,Credit card,3,0,86.63,43.47,9355.54,3,1
63,34.58,2087.9,3,1,1,Month-to-Month,Bank transfer,2,0,33.14,11.526666666666666,6263.700000000001,5,0
18,64.94,1191.65,3,1,0,One Year,Credit card,0,0,66.2,21.646666666666665,3574.9500000000003,4,0
44,78.79,3617.43,1,1,1,Month-to-Month,Mailed check,5,1,82.21,78.79,3617.43,3,0
34,114.86,3864.13,4,1,1,Two Year,Electronic check,3,1,113.65,28.715,15456.52,6,0
62,45.25,3015.12,3,1,1,Month-to-Month,Credit card,2,0,48.63,15.083333333333334,9045.36,5,1
14,55.93,785.69,3,1,1,Month-to-Month,Mailed check,1,0,56.12,18.643333333333334,2357.07,5,1
48,57.94,2583.25,3,1,1,Month-to-Month,Bank transfer,3,0,53.82,19.313333333333333,7749.75,5,0
15,80.55,1237.8,3,1,1,Month-to-Month,Electronic check,0,0,82.52,26.849999999999998,3713.3999999999996,5,1
62,55.67,3425.47,2,1,1,Month-to-Month,Electronic check,0,0,55.25,27.835,6850.94,4,0
40,73.35,3189.65,4,1,1,One Year,Bank transfer,1,1,79.74,18.3375,12758.6,6,0
53,98.18,5091.03,1,0,1,Month-to-Month,Bank transfer,1,0,96.06,98.18,5091.03,2,0
24,90.54,2130.75,1,1,0,Month-to-Month,Electronic check,2,0,88.78,90.54,2130.75,2,0
26,64.64,1731.32,2,0,1,Month-to-Month,Credit card,3,0,66.59,32.32,3462.64,3,0
60,106.42,6419.66,4,1,1,One Year,Electronic check,2,0,106.99,26.605,25678.64,6,0
41,75.81,3030.16,3,1,1,One Year,Bank transfer,3,0,73.91,25.27,9090.48,5,0
29,73.99,2355.89,2,1,1,Month-to-Month,Credit card,3,0,81.24,36.995,4711.78,4,0
15,23.42,337.4,4,0,1,Two Year,Mailed check,3,0,22.49,5.855,1349.6,5,0
45,118.67,5102.54,3,1,1,Month-to-Month,Electronic check,3,1,113.39,39.556666666666665,15307.619999999999,5,0
65,32.3,2252.52,2,0,1,One Year,Bank transfer,4,0,34.65,16.15,4505.04,3,0
71,43.11,2756.79,4,1,1,Month-to-Month,Mailed check,3,0,38.83,10.7775,11027.16,6,0
9,25.17,212.99,1,1,1,Month-to-Month,Electronic check,2,0,23.67,25.17,212.99,3,1
1,84.0,85.52,1,1,1,Two Year,Electronic check,0,1,85.52,84.0,85.52,3,0
8,42.47,316.82,4,1,1,Month-to-Month,Credit card,4,0,39.6,10.6175,1267.28,6,1
63,38.0,2626.6,1,1,1,One Year,Bank transfer,5,1,41.69,38.0,2626.6,3,1
11,28.86,315.19,4,0,1,Month-to-Month,Mailed check,4,2,28.65,7.215,1260.76,5,0
8,30.33,247.36,3,1,1,One Year,Electronic check,1,0,30.92,10.11,742.08,5,0
35,78.47,2559.9,4,1,1,Two Year,Credit card,0,0,73.14,19.6175,10239.6,6,0
35,88.82,2977.75,3,1,1,Month-to-Month,Mailed check,2,0,85.08,29.606666666666666,8933.25,5,1
33,59.74,2016.61,2,1,0,Two Year,Mailed check,4,0,61.11,29.87,4033.22,3,0
5,67.99,343.32,4,0,1,One Year,Electronic check,1,0,68.66,16.9975,1373.28,5,0
41,88.6,3839.2,2,1,1,One Year,Mailed check,0,1,93.64,44.3,7678.4,4,1
28,21.74,580.63,1,1,0,Month-to-Month,Electronic check,1,1,20.74,21.74,580.63,2,1
7,52.31,377.41,3,1,1,Two Year,Credit card,4,1,53.92,17.436666666666667,1132.23,5,0
12,117.31,1348.87,4,0,1,Month-to-Month,Credit card,2,0,112.41,29.3275,5395.48,5,1
34,78.01,2698.36,2,0,1,Month-to-Month,Mailed check,0,2,79.36,39.005,5396.72,3,1
33,45.42,1530.35,3,1,1,Two Year,Electronic check,3,1,46.37,15.14,4591.049999999999,5,0
48,72.17,3202.16,3,1,0,One Year,Bank transfer,2,0,66.71,24.05666666666667,9606.48,4,0
23,54.27,1260.35,1,0,1,Month-to-Month,Credit card,6,0,54.8,54.27,1260.35,2,1
62,73.22,4096.52,1,1,0,Month-to-Month,Electronic check,2,1,66.07,73.22,4096.52,2,0
37,32.57,1205.38,3,1,1,Month-to-Month,Electronic check,2,2,32.58,10.856666666666667,3616.1400000000003,5,0
44,33.27,1521.71,3,1,1,Month-to-Month,Electronic check,4,0,34.58,11.090000000000002,4565.13,5,1
35,34.35,1099.54,4,1,1,Month-to-Month,Mailed check,3,0,31.42,8.5875,4398.16,6,1
65,113.98,8058.76,3,1,0,One Year,Bank transfer,1,1,123.98,37.99333333333333,24176.28,4,0
47,93.29,4348.46,4,1,1,Month-to-Month,Mailed check,2,0,92.52,23.3225,17393.84,6,0
3,36.24,118.25,3,1,1,One Year,Credit card,2,0,39.42,12.08,354.75,5,0
1,38.83,35.78,1,1,1,Two Year,Mailed check,3,0,35.78,38.83,35.78,3,0
5,93.08,507.28,4,0,1,Month-to-Month,Electronic check,2,0,101.46,23.27,2029.12,5,0
14,35.62,459.7,2,0,1,Month-to-Month,Mailed check,1,3,32.84,17.81,919.4,3,0
27,43.46,1164.38,1,1,1,Month-to-Month,Electronic check,0,3,43.13,43.46,1164.38,3,1
9,116.33,1138.68,4,0,0,Month-to-Month,Bank transfer,2,1,126.52,29.0825,4554.72,4,1
15,45.53,646.44,4,1,1,One Year,Mailed check,2,1,43.1,11.3825,2585.76,6,0
42,86.16,3282.02,2,0,1,Month-to-Month,Mailed check,1,0,78.14,43.08,6564.04,3,1
51,117.86,6363.23,4,0,1,One Year,Mailed check,1,1,124.77,29.465,25452.92,5,1
63,57.43,3687.47,3,1,1,Month-to-Month,Electronic check,0,0,58.53,19.143333333333334,11062.41,5,0
52,21.75,1134.15,2,1,1,Month-to-Month,Electronic check,4,2,21.81,10.875,2268.3,4,1
4,44.41,161.1,1,1,1,Month-to-Month,Mailed check,1,1,40.28,44.41,161.1,3,1
23,103.09,2443.73,1,0,1,Month-to-Month,Mailed check,0,0,106.25,103.09,2443.73,2,0
15,106.46,1492.02,3,0,0,Month-to-Month,Bank transfer,1,0,99.47,35.486666666666665,4476.0599999999995,3,1
43,96.85,4523.7,1,1,1,Month-to-Month,Bank transfer,1,0,105.2,96.85,4523.7,3,1
29,31.31,941.72,4,1,1,Two Year,Credit card,2,0,32.47,7.8275,3766.88,6,0
36,99.55,3732.19,4,1,1,One Year,Bank transfer,3,0,103.67,24.8875,14928.76,6,0
13,111.87,1376.53,3,1,1,Month-to-Month,Bank transfer,3,2,105.89,37.29,4129.59,5,1
32,80.06,2757.01,1,1,1,Month-to-Month,Bank transfer,2,1,86.16,80.06,2757.01,3,0
71,114.09,8161.52,1,1,1,Month-to-Month,Electronic check,3,2,114.95,114.09,8161.52,3,1
59,102.68,6490.77,3,1,1,Month-to-Month,Bank transfer,3,0,110.01,34.22666666666667,19472.31,5,0
28,86.7,2316.39,2,1,1,Month-to-Month,Bank transfer,3,1,82.73,43.35,4632.78,4,1
66,77.72,5391.6,1,1,1,Month-to-Month,Mailed check,2,1,81.69,77.72,5391.6,3,0
42,54.86,2338.48,2,1,1,Month-to-Month,Electronic check,2,0,55.68,27.43,4676.96,4,0
45,35.93,1470.82,1,1,1,Month-to-Month,Credit card,1,0,32.68,35.93,1470.82,3,0
62,80.5,4896.51,1,1,1,Month-to-Month,Credit card,3,1,78.98,80.5,4896.51,3,1
57,51.81,2766.48,1,0,0,Month-to-Month,Bank transfer,2,0,48.53,51.81,2766.48,1,0
6,106.64,621.82,1,0,1,One Year,Credit card,2,0,103.64,106.64,621.82,2,0
28,119.33,3263.29,4,1,1,Month-to-Month,Credit card,1,1,116.55,29.8325,13053.16,6,0
28,95.24,2653.35,2,1,1,Month-to-Month,Credit card,0,0,94.76,47.62,5306.7,4,1
44,29.05,1303.84,2,0,1,One Year,Bank transfer,2,2,29.63,14.525,2607.68,3,1
30,48.87,1486.91,1,1,1,Two Year,Credit card,1,0,49.56,48.87,1486.91,3,0
62,30.91,1739.72,1,1,1,Two Year,Bank transfer,2,1,28.06,30.91,1739.72,3,0
62,85.05,5537.48,2,1,1,One Year,Mailed check,1,1,89.31,42.525,11074.96,4,0
1,96.52,105.19,4,1,0,Month-to-Month,Mailed check,2,0,105.19,24.13,420.76,5,0
27,112.57,2947.41,3,1,1,One Year,Credit card,1,1,109.16,37.52333333333333,8842.23,5,0
62,63.82,3703.4,3,0,1,One Year,Mailed check,1,0,59.73,21.273333333333333,11110.2,4,0
3,110.14,333.06,2,0,1,Month-to-Month,Bank transfer,3,0,111.02,55.07,666.12,3,1
70,107.79,7854.53,1,0,1,Month-to-Month,Mailed check,3,1,112.21,107.79,7854.53,2,1
27,51.72,1446.41,1,1,0,Two Year,Credit card,2,1,53.57,51.72,1446.41,2,0
9,106.89,983.58,4,0,1,Month-to-Month,Bank transfer,2,0,109.29,26.7225,3934.32,5,0
62,57.57,3316.8,3,1,1,Month-to-Month,Electronic check,1,2,53.5,19.19,9950.400000000001,5,1
37,49.69,1962.38,4,1,0,Month-to-Month,Bank transfer,4,0,53.04,12.4225,7849.52,5,0
51,84.91,4265.99,3,1,1,Month-to-Month,Mailed check,2,1,83.65,28.30333333333333,12797.97,5,0
44,52.84,2195.45,2,0,1,Month-to-Month,Electronic check,1,0,49.9,26.42,4390.9,3,0
24,83.02,1827.61,3,0,1,One Year,Bank transfer,5,3,76.15,27.673333333333332,5482.83,4,1
59,80.98,4698.24,4,0,1,One Year,Electronic check,6,0,79.63,20.245,18792.96,5,0
32,76.34,2500.52,4,1,0,Month-to-Month,Electronic check,4,0,78.14,19.085,10002.08,5,1
52,58.04,3117.9,4,1,1,Two Year,Electronic check,3,1,59.96,14.51,12471.6,6,0
62,74.85,5070.18,2,0,1,Month-to-Month,Bank transfer,0,0,81.78,37.425,10140.36,3,0
58,79.65,4299.23,3,0,1,Month-to-Month,Mailed check,1,0,74.12,26.55,12897.689999999999,4,0
52,74.57,4254.37,3,0,1,One Year,Bank transfer,0,1,81.81,24.856666666666666,12763.11,4,0
12,64.44,797.2,4,0,1,One Year,Mailed check,2,0,66.43,16.11,3188.8,5,0
39,21.47,829.66,3,1,1,One Year,Bank transfer,0,1,21.27,7.156666666666666,2488.98,5,0
2,78.71,169.64,1,1,1,Two Year,Bank transfer,2,2,84.82,78.71,169.64,3,0
3,36.84,114.82,1,1,1,One Year,Bank transfer,2,0,38.27,36.84,114.82,3,0
56,84.26,4575.79,1,1,1,Two Year,Mailed check,3,0,81.71,84.26,4575.79,3,0
59,95.93,6094.65,3,0,1,Month-to-Month,Bank transfer,4,1,103.3,31.97666666666667,18283.949999999997,4,0
2,70.04,144.75,2,1,1,One Year,Electronic check,2,3,72.38,35.02,289.5,4,0
2,74.24,154.38,2,1,1,Two Year,Bank transfer,2,2,77.19,37.12,308.76,4,0
54,115.15,6711.06,2,1,1,One Year,Electronic check,3,0,124.28,57.575,13422.12,4,0
1,104.72,103.64,2,1,1,Month-to-Month,Credit card,1,0,103.64,52.36,207.28,4,0
19,111.42,2183.41,1,0,1,Month-to-Month,Credit card,2,0,114.92,111.42,2183.41,2,1
2,101.38,212.68,1,0,1,One Year,Mailed check,2,1,106.34,101.38,212.68,2,0
53,30.89,1622.09,4,0,1,Month-to-Month,Mailed check,3,2,30.61,7.7225,6488.36,5,0
44,34.9,1407.67,3,1,1,Two Year,Credit card,3,1,31.99,11.633333333333333,4223.01,5,0
32,72.66,2451.35,3,1,1,Month-to-Month,Bank transfer,3,1,76.6,24.22,7354.049999999999,5,0
70,44.61,2840.29,2,1,0,Month-to-Month,Bank transfer,2,0,40.58,22.305,5680.58,3,0
32,67.67,2259.82,1,1,0,Two Year,Bank transfer,3,0,70.62,67.67,2259.82,2,0
68,59.44,4374.06,2,1,1,Month-to-Month,Credit card,1,2,64.32,29.72,8748.12,4,1
55,74.94,3995.55,4,1,1,Month-to-Month,Electronic check,2,0,72.65,18.735,15982.2,6,1
56,94.69,4880.62,3,0,1,One Year,Mailed check,2,1,87.15,31.563333333333333,14641.86,4,0
17,91.55,1473.2,3,1,0,One Year,Electronic check,0,0,86.66,30.516666666666666,4419.6,4,0
38,72.12,2774.7,2,0,0,Month-to-Month,Credit card,3,1,73.02,36.06,5549.4,2,0
24,102.24,2671.0,4,1,1,Two Year,Electronic check,3,0,111.29,25.56,10684.0,6,0
69,63.09,4363.9,3,1,1,Month-to-Month,Bank transfer,4,0,63.24,21.03,13091.699999999999,5,0
70,109.67,7082.3,4,0,1,One Year,Bank transfer,0,0,101.18,27.4175,28329.2,5,0
11,27.13,306.06,4,1,1,Month-to-Month,Electronic check,0,0,27.82,6.7825,1224.24,6,1
16,115.47,1933.56,2,1,1,One Year,Credit card,2,0,120.85,57.735,3867.12,4,0
59,85.47,4935.1,1,1,1,Month-to-Month,Electronic check,1,0,83.65,85.47,4935.1,3,1
70,58.01,4240.6,2,1,1,Month-to-Month,Bank transfer,4,0,60.58,29.005,8481.2,4,0
3,39.72,114.99,1,1,0,Month-to-Month,Bank transfer,2,2,38.33,39.72,114.99,2,1
20,67.92,1436.94,4,0,1,Two Year,Credit card,3,1,71.85,16.98,5747.76,5,0
59,39.46,2254.14,1,0,1,Month-to-Month,Electronic check,0,0,38.21,39.46,2254.14,2,0
36,36.63,1254.36,4,0,1,One Year,Bank transfer,2,0,34.84,9.1575,5017.44,5,0
19,81.74,1670.84,3,1,1,Two Year,Bank transfer,1,0,87.94,27.246666666666666,5012.5199999999995,5,0
67,72.31,4891.74,3,0,0,Month-to-Month,Electronic check,1,1,73.01,24.103333333333335,14675.22,3,0
19,87.01,1582.15,3,1,0,Month-to-Month,Electronic check,0,0,83.27,29.003333333333334,4746.450000000001,4,1
20,112.96,2455.79,2,1,1,Month-to-Month,Mailed check,1,1,122.79,56.48,4911.58,4,1
71,73.23,5397.79,2,1,1,One Year,Credit card,1,0,76.03,36.615,10795.58,4,0
52,78.09,3833.85,4,1,0,Month-to-Month,Credit card,1,0,73.73,19.5225,15335.4,5,0
33,28.96,977.59,3,1,1,Month-to-Month,Electronic check,0,0,29.62,9.653333333333334,2932.77,5,1
40,91.76,3942.27,2,1,1,One Year,Credit card,3,0,98.56,45.88,7884.54,4,1
39,59.99,2431.39,3,0,0,One Year,Bank transfer,1,0,62.34,19.996666666666666,7294.17,3,0
1,117.67,111.66,2,0,1,Month-to-Month,Electronic check,0,0,111.66,58.835,223.32,3,1
11,102.32,1159.03,1,1,1,Month-to-Month,Electronic check,1,0,105.37,102.32,1159.03,3,1
57,72.25,4216.4,1,0,1,One Year,Electronic check,2,1,73.97,72.25,4216.4,2,0
50,32.32,1719.7,3,0,1,Two Year,Mailed check,3,4,34.39,10.773333333333333,5159.1,4,0
23,105.94,2279.77,4,1,1,Two Year,Credit card,2,0,99.12,26.485,9119.08,6,0
31,99.98,3223.13,2,0,0,One Year,Mailed check,3,1,103.97,49.99,6446.26,2,0
42,38.46,1462.63,2,1,1,Month-to-Month,Bank transfer,1,1,34.82,19.23,2925.26,4,0
7,49.53,360.31,1,0,1,Month-to-Month,Credit card,1,1,51.47,49.53,360.31,2,1
16,99.34,1735.81,1,1,1,Month-to-Month,Mailed check,2,0,108.49,99.34,1735.81,3,0
60,38.52,2160.69,4,1,0,Month-to-Month,Electronic check,1,0,36.01,9.63,8642.76,5,0
2,111.78,215.12,4,1,0,One Year,Mailed check,2,0,107.56,27.945,860.48,5,0
1,62.45,63.49,4,1,0,Month-to-Month,Electronic check,1,0,63.49,15.6125,253.96,5,0
48,28.7,1441.63,3,1,0,Month-to-Month,Mailed check,2,0,30.03,9.566666666666666,4324.89,4,0
12,101.57,1180.9,1,0,1,Two Year,Mailed check,1,0,98.41,101.57,1180.9,2,0
69,57.35,4087.15,3,1,1,Month-to-Month,Mailed check,4,0,59.23,19.116666666666667,12261.45,5,0
37,72.65,2902.71,1,1,1,Month-to-Month,Electronic check,2,1,78.45,72.65,2902.71,3,0
32,31.23,1044.64,1,1,1,Month-to-Month,Mailed check,1,0,32.65,31.23,1044.64,3,0
9,20.26,190.04,2,1,1,One Year,Credit card,3,1,21.12,10.13,380.08,4,0
19,83.8,1554.61,1,0,0,One Year,Credit card,2,0,81.82,83.8,1554.61,1,0
48,71.52,3715.44,1,1,1,Month-to-Month,Credit card,1,0,77.4,71.52,3715.44,3,1
3,79.35,227.45,3,1,1,Month-to-Month,Electronic check,3,1,75.82,26.45,682.3499999999999,5,0
20,99.37,1870.25,1,0,1,One Year,Electronic check,3,0,93.51,99.37,1870.25,2,1
24,84.66,1976.66,3,1,1,Two Year,Credit card,0,1,82.36,28.22,5929.9800000000005,5,1
54,37.48,2084.7,4,0,1,Two Year,Credit card,1,1,38.61,9.37,8338.8,5,0
33,56.08,1984.51,1,0,1,Two Year,Credit card,0,0,60.14,56.08,1984.51,2,0
24,110.59,2458.86,1,0,1,One Year,Bank transfer,0,1,102.45,110.59,2458.86,2,0
36,96.99,3710.78,3,0,1,Month-to-Month,Credit card,3,2,103.08,32.33,11132.34,4,0
38,75.66,3054.96,4,1,1,Month-to-Month,Mailed check,1,1,80.39,18.915,12219.84,6,0
25,45.56,1158.8,2,0,1,Month-to-Month,Bank transfer,3,1,46.35,22.78,2317.6,3,0
18,50.21,950.89,4,1,0,One Year,Bank transfer,0,0,52.83,12.5525,3803.56,5,0
66,93.2,5759.84,3,1,1,Two Year,Electronic check,2,0,87.27,31.066666666666666,17279.52,5,0
54,105.12,5301.36,4,0,0,Month-to-Month,Mailed check,4,0,98.17,26.28,21205.44,4,0
35,87.14,3271.2,3,1,1,Month-to-Month,Electronic check,0,0,93.46,29.046666666666667,9813.599999999999,5,1
61,100.95,6155.67,3,1,1,Month-to-Month,Electronic check,0,2,100.91,33.65,18467.010000000002,5,1
41,96.67,3762.08,2,1,1,Two Year,Mailed check,1,0,91.76,48.335,7524.16,4,0
33,34.97,1197.57,1,0,1,One Year,Electronic check,2,1,36.29,34.97,1197.57,2,0
68,62.39,4575.03,3,1,1,Two Year,Mailed check,2,0,67.28,20.796666666666667,13725.09,5,0
33,35.3,1195.73,3,1,1,Two Year,Mailed check,2,0,36.23,11.766666666666666,3587.19,5,0
14,43.52,590.68,2,0,1,Two Year,Electronic check,1,0,42.19,21.76,1181.36,3,0
21,106.93,2238.0,3,0,1,One Year,Credit card,3,0,106.57,35.64333333333334,6714.0,4,0
48,67.29,3392.88,1,1,1,One Year,Electronic check,2,1,70.68,67.29,3392.88,3,1
20,73.54,1343.58,2,0,1,Month-to-Month,Bank transfer,3,0,67.18,36.77,2687.16,3,0
8,37.84,285.6,1,1,1,Month-to-Month,Electronic check,1,1,35.7,37.84,285.6,3,0
7,51.23,355.93,1,1,1,Month-to-Month,Mailed check,0,0,50.85,51.23,355.93,3,0
67,43.02,2942.43,2,1,1,Month-to-Month,Bank transfer,3,0,43.92,21.51,5884.86,4,1
17,40.62,668.33,3,1,1,Two Year,Mailed check,0,0,39.31,13.54,2004.9900000000002,5,0
33,83.8,2653.89,1,0,0,Month-to-Month,Credit card,1,0,80.42,83.8,2653.89,1,0
48,45.69,1991.96,1,0,0,Two Year,Credit card,1,0,41.5,45.69,1991.96,1,0
59,83.2,4449.93,1,1,0,Month-to-Month,Bank transfer,0,0,75.42,83.2,4449.93,2,0
22,25.85,543.53,1,1,1,Month-to-Month,Credit card,2,0,24.71,25.85,543.53,3,0
30,34.18,1031.66,2,1,1,Two Year,Credit card,1,1,34.39,17.09,2063.32,4,0
38,47.45,1823.43,2,0,1,Month-to-Month,Electronic check,2,0,47.98,23.725,3646.86,3,0
51,79.7,4059.84,4,0,1,Month-to-Month,Electronic check,3,2,79.6,19.925,16239.36,5,1
54,87.58,4644.08,4,0,1,Month-to-Month,Credit card,5,0,86.0,21.895,18576.32,5,0
8,64.27,488.69,1,1,1,One Year,Credit card,2,0,61.09,64.27,488.69,3,0
27,64.58,1709.03,3,0,1,Month-to-Month,Electronic check,3,1,63.3,21.526666666666667,5127.09,4,0
27,92.45,2315.81,1,1,1,One Year,Credit card,2,0,85.77,92.45,2315.81,3,0
21,21.58,418.31,3,1,1,One Year,Credit card,3,0,19.92,7.1933333333333325,1254.93,5,0
30,54.11,1558.35,1,1,1,One Year,Mailed check,1,1,51.94,54.11,1558.35,3,0
28,101.87,3134.94,4,1,1,One Year,Credit card,2,0,111.96,25.4675,12539.76,6,0
64,80.32,4962.1,4,0,1,Month-to-Month,Bank transfer,0,0,77.53,20.08,19848.4,5,0
69,53.72,4030.24,3,1,1,Month-to-Month,Mailed check,1,1,58.41,17.906666666666666,12090.72,5,1
61,110.55,6598.24,1,1,1,Two Year,Bank transfer,0,0,108.17,110.55,6598.24,3,0
48,97.26,4611.53,3,1,0,Month-to-Month,Credit card,3,0,96.07,32.42,13834.59,4,0
19,46.49,935.79,4,1,1,Month-to-Month,Electronic check,1,2,49.25,11.6225,3743.16,6,1
4,84.53,310.64,1,1,1,Month-to-Month,Mailed check,2,0,77.66,84.53,310.64,3,1
35,79.58,2608.33,1,0,1,Two Year,Electronic check,1,0,74.52,79.58,2608.33,2,0
64,60.12,4212.32,3,0,1,Month-to-Month,Mailed check,0,0,65.82,20.04,12636.96,4,1
49,56.7,2781.59,2,1,1,Month-to-Month,Electronic check,2,1,56.77,28.35,5563.18,4,1
17,54.36,839.9,3,1,1,One Year,Mailed check,2,0,49.41,18.12,2519.7,5,0
44,81.72,3270.19,4,0,1,One Year,Mailed check,2,1,74.32,20.43,13080.76,5,0
30,64.24,2084.17,4,1,1,Month-to-Month,Bank transfer,1,0,69.47,16.06,8336.68,6,1
46,103.19,5101.19,4,1,0,Month-to-Month,Electronic check,3,1,110.9,25.7975,20404.76,5,0
6,86.96,517.42,4,0,0,One Year,Bank transfer,4,0,86.24,21.74,2069.68,4,0
37,26.99,931.37,4,1,0,Two Year,Bank transfer,2,0,25.17,6.7475,3725.48,5,0
24,84.02,2149.68,2,1,0,One Year,Electronic check,3,0,89.57,42.01,4299.36,3,0
